Data,Rendimento real médio de todos os trabalhos efetivos mensais - R$ Penúltimo mês da série - Instituto Brasileiro de Geografia e Estatística- Pesquisa Nacional por Amostra de Domicílios Contínua (IBGE/PNAD Contínua) - PNADC12_RRTE12,
2012.03,2834,
2012.04,2673,
2012.05,2669,
2012.06,2675,
2012.07,2687,
2012.08,2698,
2012.09,2698,
2012.10,2700,
2012.11,2696,
2012.12,2719,
2013.01,2853,
2013.02,2866,
2013.03,2851,
2013.04,2726,
2013.05,2729,
2013.06,2753,
2013.07,2775,
2013.08,2791,
2013.09,2790,
2013.10,2802,
2013.11,2797,
2013.12,2802,
2014.01,2900,
2014.02,2925,
2014.03,2939,
2014.04,2837,
2014.05,2832,
2014.06,2814,
2014.07,2801,
2014.08,2818,
2014.09,2822,
2014.10,2836,
2014.11,2817,
2014.12,2839,
2015.01,2948,
2015.02,2947,
2015.03,2925,
2015.04,2816,
2015.05,2798,
2015.06,2809,
2015.07,2792,
2015.08,2774,
2015.09,2765,
2015.10,2759,
2015.11,2757,
2015.12,2849,
2016.01,3119,
2016.02,3116,
2016.03,3035,
2016.04,2763,
2016.05,2756,
2016.06,2728,
2016.07,2735,
2016.08,2759,
2016.09,2750,
2016.10,2744,
2016.11,2741,
2016.12,2848,
2017.01,3112,
2017.02,3139,
2017.03,3072,
2017.04,2807,
2017.05,2785,
2017.06,2766,
2017.07,2776,
2017.08,2784,
2017.09,2797,
2017.10,2796,
2017.11,2797,
2017.12,2893,
2018.01,3161,
2018.02,3187,
2018.03,3095,
2018.04,2847,
2018.05,2837,
2018.06,2833,
2018.07,2833,
2018.08,2849,
2018.09,2835,
2018.10,2826,
2018.11,2817,
2018.12,2929,
2019.01,3217,
2019.02,3242,
2019.03,3139,
2019.04,2856,
2019.05,2823,
2019.06,2827,
2019.07,2828,
2019.08,2854,
2019.09,2842,
2019.10,2851,
2019.11,2858,
2019.12,2962,
2020.01,3237,
2020.02,3250,
2020.03,3162,
2020.04,2902,
2020.05,2834,
2020.06,2787,
2020.07,2790,
2020.08,2833,
2020.09,2892,
2020.10,2882,
2020.11,2887,
2020.12,2930,
2021.01,3150,
2021.02,3141,
2021.03,3081,
2021.04,2850,
2021.05,2844,
2021.06,2815,
2021.07,2798,
2021.08,2768,
2021.09,2717,
2021.10,2671,
2021.11,2635,
2021.12,2682,
2022.01,2922,
2022.02,2934,
2022.03,2891,
2022.04,2671,
2022.05,2681,
2022.06,2703,
2022.07,2734,
2022.08,2760,
2022.09,2784,
2022.10,2801,
2022.11,2824,
2022.12,2933,
2023.01,3166,
